Study Name	LIDE Sample ID	Study Sample ID	Collection Start Date	Sample Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	33466 - 33467	MF 008	15-Sep-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33468 - 33469	MF 009	22-Sep-09	Event	0.11	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33478 - 33479	MF 010	27-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33488 - 33489	MF 011	1-Oct-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33528 - 33529	MF 012	22-Oct-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33550 - 33551	MF 013	17-Nov-09	Baseflow	14.35	30.14	0	0	0	0	0	0														
Milw Corridor Study USGS	33573 - 33574	MF 014	24-Dec-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33592 - 33593	MF 015	20-Jan-10	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33600 - 33601	MF 016	24-Jan-10	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33622 - 33623	MF 017	1-Mar-10	Baseflow	0	331.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33660 - 33661	MF 018	9-Mar-10	Event	0	37.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33690 - 33691	MF 020	6-Apr-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33698 - 33699	MF 021	24-Apr-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33953 - 33952	MF 022	18-May-10	Baseflow	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33955 - 33954	MF 023	15-Jun-10	Event	0	2.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33958 - 33957	MF 025	13-Jul-10	Baseflow	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0
