SampleID	SSdate	SEdate	MultipleSample	SampleType	UWM	Fvolume	Comments	ESdate	EEdate	ISdate	IEdate	Start time difference	End time difference	Comments
MC041S	08-17-2010 13:30	NA	no	Sediment	no	NA	bed sed							
MC042	09-01-2010 03:23	09-01-2010 20:34	no	Rainfall	yes	146	Rainfall	09-01-2010 01:30	09-02-2010 04:30	09-01-2010 01:30	09-02-2010 04:30	1:53	7:56	
MC043	09-13-2010 09:25	09-14-2010 11:07	no	Baseflow	yes	262	Baseflow							
MC044	10-13-2010 11:15	10-14-2010 10:30	no	Baseflow	yes	237	Baseflow							
MC045	10-23-2010 21:06	10-24-2010 18:45	no	Rainfall 	yes	499	Rainfall after 5 week dry period	10-23-2010 21:00	10-24-2010 22:00	10-23-2010 21:00	10-24-2010 22:00	0:06	3:15	
MC046	10-26-2010 06:01	10-27-2010 00:14	no	Rainfall	yes	181	Rainfall	10-26-2010 04:00	10-27-2010 07:00	10-26-2010 04:00	10-27-2010 07:00	2:01	6:46	
MC047	11-22-2010 07:51	11-23-2010 08:21	no	Rainfall	yes	121	Rainfall	11-22-2010 05:30	11-24-2010 03:00	11-22-2010 05:30	11-24-2010 03:00	2:21	18:39	
MC048	12-11-2010 16:27	12-12-2010 20:18	no	Mix	yes	630	"melt, rain, snow"	12-11-2010 13:00	12-13-2010 04:00	12-11-2010 13:00	12-13-2010 04:00	3:27	7:42	
MC049	12-19-2010 12:44	12-20-2010 11:11	no	Baseflow	yes	232	Baseflow							
MC050	01-05-2011 10:44	01-06-2011 08:44	no	Baseflow	yes	222	Baseflow							
MC051	02-16-2011 17:17	02-20-2011 09:21	yes	Mix	yes	509	Snowmelt with mist	02-16-2011 14:00	02-21-2011 07:30	02-16-2011 14:00	02-20-2011 10:01	3:17	0:40	
MC052	02-20-2011 10:49	02-21-2011 04:55	yes	Snowmelt	yes	121	End of snowmelt event			02-20-2011 10:01	02-21-2011 07:30	0:48	2:35	
MC053	02-28-2011 11:13	03-01-2011 09:40	no	Baseflow	NA	232	Baseflow							
MC054	03-09-2011 06:32	03-10-2011 16:32	no	Mix	NA	90.7	Small Event	03-09-2011 02:00	03-10-2011 20:00	03-09-2011 02:00	03-10-2011 20:00	4:32	3:28	
MC055	03-14-2011 12:04	03-17-2011 08:04	yes	Snowmelt	NA	690	small snowmelt;  time composite	03-14-2011 12:00	03-20-2011 07:00	03-14-2011 12:00	03-17-2011 11:06	0:04	3:02	
