Study.Sample.ID	USDA.LIDE	GLWI.FT	Site.Name	Abbrev	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	GMTbpdate	GMTepdate	Collection.Start.Date	GLWI.Sample.Arrival	cmonth	Sample.Type	Event.Type	Event.Type.2	GLWI.Event	Adenovirus.C.D.F	Adenovirus.A	Enterovirus	Human_virus	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacSp.CN.100ml	Entero.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	DO_max	DO_min	Q_mean	Q_max	SC_mean	SC_max	SC_min	TURB_mean	TURB_max	WTEMP_max	WTEMP_min	AntBase	WW.Adenovirus.C.D.F	WW.Adenovirus.A	WW.Enterovirus	WW.G1.Norovirus	WWFIB.BacHuman..CN.100ml.	WWFIB.BacSp..CN.100ml.	WWFIB.Entero..CN.100ml.	WWFIB.Lachno.2..CN.100ml.
MF 001	33293 - 33294	6508	Meno Falls	MF	FALSE	MF 001	4/6/2009 9:34	4/7/2009 11:00	4/6/2009 15:34	4/7/2009 17:00	6-Apr-09	10-Apr-09	Apr	Baseflow	Baseflow	Baseflow	Baseflow	15.86	21.84	39.61	77.31	32	12	67940	23622	2155	2155	678	678	15.4	11.6	40.83948033	44.78308	1005.775439	1020	997	7.48877193	22	6.6	3.7	37.8	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
MF 002	33306 - 33307	6519	Meno Falls	MF	FALSE	MF 002	4/20/2009 10:28	4/21/2009 18:19	4/20/2009 16:28	4/22/2009 0:19	20-Apr-09	24-Apr-09	Apr	Event	Rainfall 	Rainfall 	Rain	0.38	3.47	0.76	4.61	40	120	105839	4281	1300	1300	1449	1449	12.7	11	85.04601351	88.76763	1090.40107	1120	1050	6.435026738	13	9	6.5	19.62	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
MF 003	33393 - 33394	7005	Meno Falls	MF	FALSE	MF 003	6/15/2009 20:38	6/16/2009 13:42	6/16/2009 2:38	6/16/2009 19:42	15-Jun-09	15-Jun-09	Jun	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	290	170	179241	4503	259	259	143	143	10.8	9	12.27348368	12.90472	987.6536585	1000	979	10.97941176	25	20.6	18.6	11.85	36980.91345	52157.3075	9405.962182	11390.14465	22171668.89	798508994	65487247.41	43668881.39
MF 005	33417 - 33418	7413	Meno Falls	MF	FALSE	MF 005	7/22/2009 8:44	7/23/2009 6:12	7/22/2009 14:44	7/23/2009 12:12	22-Jul-09	24-Jul-09	Jul	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	4900	5300	316984	61651	3356	3356	4457	4457	9.3	7.6	12.07389335	25.48749	813.9186047	901	739	10.03992248	20	20.2	18.4	3.79	69784.67961	81613.32181	9497.569443	1860.189203	27395133.2	787786006.3	43103055.9	38417028.32
MF 006	33439 - 33440	7771	Meno Falls	MF	FALSE	MF 006	8/11/2009 9:08	8/12/2009 8:35	8/11/2009 15:08	8/12/2009 14:35	11-Aug-09	14-Aug-09	Aug	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	310	260	21024	3965	68	68	BLD	60	9.1	7.1	4.8695315	5.856554	1056.138211	1070	1030	2.484081633	6.6	24.6	21.4	2.47	19907.92953	111.7765032	300.10725	6072.141975	17965718.61	625180511.5	35070781.91	31224834.57
MF 008	33466 - 33467	8306	Meno Falls	MF	FALSE	MF 008	9/15/2009 8:28	9/15/2009 13:54	9/15/2009 14:28	9/15/2009 19:54	15-Sep-09	17-Sep-09	Sep	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	140	120	23737	2039	94	94	BLD	60	9.6	8.6	1.971077318	2.036631	1117.692308	1120	1110	2.487692308	3.3	21	18.9	2.16	51389.89519	1969.953796	2029.253497	10149.49334	19123252.59	787476853.8	41600888.62	40270003.17
MF 009	33468 - 33469	8453	Meno Falls	MF	FALSE	MF 009	9/22/2009 12:21	9/23/2009 7:48	9/22/2009 18:21	9/23/2009 13:48	22-Sep-09	26-Sep-09	Sep	Event	Rainfall 	Rainfall 	Rain	0.11	0	0	0.11	10700	10300	459990	39923	5151	5151	3588	3588	8.7	7.8	28.62157804	119.9182	559.5364807	775	194	23.92543103	140	19.6	18.2	3.15	35936.87885	4243.8731	1506.505636	8040.298126	19455725.09	760688501.7	39758474.11	37619719.86
MF 010	33478 - 33479	8459	Meno Falls	MF	FALSE	MF 010	9/27/2009 18:44	9/28/2009 7:24	9/28/2009 0:44	9/28/2009 13:24	27-Sep-09	26-Sep-09	Sep	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	5500	4400	233194	56916	4874	4874	9544	9544	8.9	8.3	25.52600908	78.08479	605.1578947	819	301	21.06118421	84	18	14.9	4.99	24574.49905	5915.853133	1122.136682	6489.437334	19700187.31	740991413.2	38403773.33	35671004.81
MF 011	33488 - 33489	NA	Meno Falls	MF	FALSE	MF 011	10/1/2009 19:24	10/2/2009 9:48	10/2/2009 1:24	10/2/2009 15:48	1-Oct-09	NA	Oct	Event	Rainfall 	Rainfall 	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	9.9	9.6	38.75669913	59.66999	568.3410405	853	347	16.93452381	39	13.2	12.3	5.36	15883.76941	7194.69847	828.1448661	5303.232324	19887168.84	725925725.1	37367604.98	34180493.49
MF 012	33528 - 33529	8656	Meno Falls	MF	FALSE	MF 012	10/22/2009 6:04	10/24/2009 11:23	10/22/2009 12:04	10/24/2009 17:23	22-Oct-09	25-Oct-09	Oct	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	510	410	165400	14429	1875	1875	383	383	11	9	56.54898821	96.36477	780.1515625	1020	509	12.72629816	28	10.8	8.3	5.38	2356.456553	7300.903762	162.2024963	1683.269122	20255582.93	725290392.7	38266322.31	32306433.24
MF 013	33550 - 33551	8669	Meno Falls	MF	FALSE	MF 013	11/17/2009 17:30	11/18/2009 14:38	11/17/2009 23:30	11/18/2009 20:38	17-Nov-09	21-Nov-09	Nov	Baseflow	Baseflow	Baseflow	Rain	14.35	30.14	0	44.49	450	2200	136532	16677	1020	1020	773	773	13.2	10.8	10.62968988	12.9355	1153.937008	1180	1090	4.195275591	8.3	7.2	5.7	9.63	3245.411161	3271.53942	0	0	20740011.02	635182137.3	61731169.82	34439688.52
MF 014	33573 - 33574	NA	Meno Falls	MF	FALSE	MF 014	12/24/2009 23:28	12/27/2009 17:29	12/25/2009 5:28	12/27/2009 23:29	24-Dec-09	NA	Dec	Event	Mix	Mix	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	14.2	13.7	130.6381166	159.1727	1141.289141	2880	912	33.4520202	82	0.4	0	9.7	4247.352865	0	0	0	23167345.66	493925644.4	91549061.27	35754698.48
MF 015	33592 - 33593	8696	Meno Falls	MF	FALSE	MF 015	1/20/2010 9:47	1/21/2010 4:24	1/20/2010 15:47	1/21/2010 10:24	20-Jan-10	23-Jan-10	Jan	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	17	15	76372	5111	1089	1089	1110	1110	14.7	14	17.15678649	17.70421	1170.58296	1180	1170	1.933632287	2.5	0	0	15	4339.074243	0	682.7910556	0	21930182.1	447849541.8	85392078.94	29507365.73
MF 016	33600 - 33601	8705	Meno Falls	MF	FALSE	MF 016	1/24/2010 7:13	1/26/2010 9:06	1/24/2010 13:13	1/26/2010 15:06	24-Jan-10	28-Jan-10	Jan	Event	Mix	Mix	Rain	0	0	0	0	340	230	477166	47057	3419	3419	2441	2441	14.1	13.3	116.364269	201.0166	1151.322204	1720	957	14.83305509	59	0.6	0	17	3373.880102	0	896.3084683	0	21058400.5	404425608.1	86757865.72	27943174.07
MF 017	33622 - 33623	8721	Meno Falls	MF	FALSE	MF 017	3/1/2010 8:59	3/2/2010 1:51	3/1/2010 14:59	3/2/2010 7:51	1-Mar-10	4-Mar-10	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	331.74	0	331.74	6	20	163866	8617	941	941	236	236	15.6	12.5	14.312055	14.78108	1371.083744	1450	1320	5.286206897	8.5	2.8	1.1	12	7716.377239	0	30339.42889	33837.01113	24398050.74	285535337.1	164089133.8	38728757.64
MF 018	33660 - 33661	8747	Meno Falls	MF	FALSE	MF 018	3/9/2010 17:03	3/14/2010 14:31	3/9/2010 23:03	3/14/2010 20:31	9-Mar-10	17-Mar-10	Mar	Event	Mix	Mix	Rain	0	37.12	0	37.12	0	0	19527	1407	195	195	BLD	60	13.5	12.2	164.5058067	267.1138	893.9631206	1450	600	15.59261888	61	3.9	0.9	15.12	10185.78302	0	40173.61649	45389.65715	24336332.41	296156039	178405025	40474526.37
MF 020	33690 - 33691	8800	Meno Falls	MF	FALSE	MF 020	4/6/2010 22:43	4/8/2010 13:47	4/7/2010 4:43	4/8/2010 19:47	6-Apr-10	10-Apr-10	Apr	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	480	440	155947	10086	900	900	225	225	12	10.4	133.053074	165.4199	878.3091684	989	783	15.0021322	54	10.2	6.1	20.04	8374.10611	9901.272983	6943.853086	7934.652789	18354555.41	338985737.1	197177169.9	36413409.77
MF 021	33698 - 33699	8856	Meno Falls	MF	FALSE	MF 021	4/24/2010 23:07	4/26/2010 7:39	4/25/2010 5:07	4/26/2010 13:39	24-Apr-10	28-Apr-10	Apr	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	410	620	237132	25764	1298	1298	705	705	11.1	10.4	229.9410667	306.4006	603.6769231	841	436	26.52849741	78	9.8	8.1	17.37	4289.4524	13141.52018	2423.843674	4906.564078	16428213.16	307642247.6	169091820.2	39514065.78
MF 022	33953 - 33952	8971	Meno Falls	MF	FALSE	MF 022	5/18/2010 11:04	5/19/2010 11:53	5/18/2010 17:04	5/19/2010 17:53	18-May-10	21-May-10	May	Baseflow	Baseflow	Baseflow	Baseflow	0	0.11	0	0.11	60	40	55874	3355	360	360	240	240	10.6	9	42.58493903	50.47599	857.8456376	868	848	7.502348993	16	16.3	13.9	67.67	208655.3252	14233.0953	430.9649087	1144.182774	12505798.68	228862682.8	111680241.2	25130491.03
MF 023	33955 - 33954	9312	Meno Falls	MF	FALSE	MF 023	6/15/2010 15:14	6/16/2010 10:21	6/15/2010 21:14	6/16/2010 16:21	15-Jun-10	18-Jun-10	Jun	Event	Rainfall 	CSO	CSO	0	2.69	0	2.69	14400	4500	49360	93358	2749	2749	2824	2824	8.9	8	37.73729709	59.66999	750.4372294	917	349	28.24782609	140	19.5	18.1	12.89	42997.08574	9112.005812	4080.534054	67629.99096	13700812.72	298730368.6	81275048.6	26275534.55
MF 025	33958 - 33957	9456	Meno Falls	MF	FALSE	MF 025	7/13/2010 8:29	7/14/2010 5:57	7/13/2010 14:29	7/14/2010 11:57	13-Jul-10	16-Jul-10	Jul	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	170	280	1289	2527	233	233	BLD	60	8.5	7.1	8.710668488	9.838399	981.8301158	987	974	11.38378378	21	25.5	22.2	9.24	14846.45625	11270.03314	16735.33516	25338.38581	15072578.43	383821623.8	75061757.8	26243112.92
MF 026	34570 - 34569	9497	Meno Falls	MF	FALSE	MF 026	7/15/2010 7:07	7/16/2010 7:19	7/15/2010 13:07	7/16/2010 13:19	15-Jul-10	16-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	9900	5000	2376	78531	428	428	203	203	8.3	7.9	351.2908279	405.3587	361.1517241	380	278	40.02068966	62	24.1	21.7	9.24	15577.6498	10891.04617	17370.94194	22395.50095	14753472.69	390743175.9	69489404.88	24424528.21
MF 027	33960 - 33959	9573	Meno Falls	MF	TRUE	MF 027	7/22/2010 16:27	7/23/2010 12:05	7/22/2010 22:27	7/23/2010 18:05	22-Jul-10	23-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	27000	10600	9313	142137	6390	6390	5352	5352	8.3	8.2	504.2794809	1453.891	295.0548523	349	103	39.29184549	220	23.2	22.1	29.77	16539.83532	60943.59442	20117.03211	139551.4052	11333417.05	350897016.1	41219239.36	15311096.11
MF 028	33962 - 33961	9610	Meno Falls	MF	TRUE	MF 027	7/23/2010 13:05	7/26/2010 0:12	7/23/2010 19:05	7/26/2010 6:12	23-Jul-10	26-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	0	0	0	190	330	BLD	5814	420	420	BLD	60	8.2	8	477.7427899	605.3875	367.0856742	439	305	11.00898876	21	24.4	22.6	224.73	17344.92266	61504.04613	20151.87689	138422.0111	11317457.39	348964710.7	40672868.55	15498377.93
MF 031	34063 - 34062	9765	Meno Falls	MF	FALSE	MF 031	9/1/2010 2:01	9/1/2010 14:08	9/1/2010 8:01	9/1/2010 20:08	1-Sep-10	2-Sep-10	Sep	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	8900	11200	27919	120867	5993	5993	585	585	8.3	7.5	40.8138148	118.6552	547.6137931	802	242	29.62318841	110	24	23	4.2	994.7528356	160.7627384	2952.056514	3913.052881	14533994.98	311889468	49888094.27	23750322.61
MF 032	34127 - 34126	10043	Meno Falls	MF	FALSE	MF 032	9/13/2010 8:49	9/14/2010 7:52	9/13/2010 14:49	9/14/2010 13:52	13-Sep-10	14-Sep-10	Sep	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	330	250	127487	10728	BLD	60	120	120	9.6	8.5	8.230253337	10.5937	963.5523466	967	961	3.014440433	12	19.3	16.1	6.32	34595.11893	27.96319494	23630.40434	51163.41219	17841455.61	330071426	58138623.49	25544347.04
MF 033	34077 - 34076	10150	Meno Falls	MF	FALSE	MF 033	10/23/2010 16:59	10/24/2010 17:11	10/23/2010 22:59	10/24/2010 23:11	23-Oct-10	25-Oct-10	Oct	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	4000	7500	877105	360998	2907	2907	2402	2402	9.8	8.9	34.62229048	68.18	655.9554795	1060	202	20.86130137	140	14	10.9	2.94	2552.80617	47540.25294	60883.34282	1743.185885	13541087.32	349459331.4	61725315.81	15033013.55
MF 034	34085 - 34084	10215	Meno Falls	MF	FALSE	MF 034	10/26/2010 8:37	10/26/2010 22:50	10/26/2010 14:37	10/27/2010 4:50	26-Oct-10	26-Oct-10	Oct	Event	Rainfall 	Rainfall 	Rain	0	0	48.97	48.97	4700	2400	157140	37222	915	915	1155	1155	9.4	8.9	30.13854778	39.50407	723.245614	810	608	9.096491228	12	15.1	12.5	10.74	2461.355032	42742.22006	55083.03665	4323.830984	13298929.79	355076467.4	60707272.94	13939449.5
MF 035	34093 - 34092	10327	Meno Falls	MF	FALSE	MF 035	11/10/2010 9:14	11/11/2010 8:01	11/10/2010 15:14	11/11/2010 14:01	10-Nov-10	11-Nov-10	Nov	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	120	90	76784	2548	BLD	60	BLD	60	14.3	10.4	7.252612609	7.836458	1053.781818	1060	1040	2.718909091	3.5	8.6	6.6	7.23	28408.61153	16050.36672	25465.1075	128054.4196	12653194.5	405540329.9	79706075.32	29495301.4
MF 036	34111 - 34110	10337	Meno Falls	MF	FALSE	MF 036	11/22/2010 7:38	11/23/2010 7:49	11/22/2010 13:38	11/23/2010 13:49	22-Nov-10	23-Nov-10	Nov	Event	Rainfall 	Rainfall 	Rain	0	0	0.09	0.09	6200	6400	2001947	97317	2677	2677	2025	2025	12	10.3	11.59221554	22.10664	947.9931507	1060	624	8.573287671	95	7.7	4.3	7.05	59333.67738	1341.281863	9920.216012	303292.7563	14531306.76	279306413.7	129748692	44622083.43
MF 037	34556 - 34555	10456	Meno Falls	MF	FALSE	MF 037	1/5/2011 10:48	1/6/2011 8:23	1/5/2011 16:48	1/6/2011 14:23	5-Jan-11	6-Jan-11	Jan	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	20	10	93561	3084	143	143	68	68	14.6	13.5	25.66954121	31.99573	1281.384615	1290	1270	2.196923077	3.3	0	0	12	610572.6423	475.6894841	15064.84928	879189.7569	19571492.92	230840449.2	171645744.3	35996580.92
MF 038	34605 - 34604	10471	Meno Falls	MF	FALSE	MF 038	2/16/2011 14:24	2/20/2011 8:10	2/16/2011 20:24	2/20/2011 14:10	16-Feb-11	21-Feb-11	Feb	Event	Mix	Mix	Baseflow	0	0	0	0	0	80	277861	58469	870	870	203	203	14.4	13.5	137.1192083	173.4643	1599.777365	2650	1020	14.73819703	54	0.2	0	11	186701.956	7788.673929	0	0	25153583.87	287086121.7	215905785.7	40451446.86
MF 039	34595 - 34594	10479	Meno Falls	MF	FALSE	MF 039	2/28/2011 9:31	3/1/2011 12:46	2/28/2011 15:31	3/1/2011 18:46	28-Feb-11	1-Mar-11	Feb	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	91	60	201364	5932	113	113	BLD	60	15.2	14.2	34.93466296	69.04243	1527.692308	1570	1460	3.162461538	3.9	0.7	0	25	360665.5165	16435.93616	8773.294793	4695.663718	29136145.12	323623333.9	297177487.1	43608647.79
MF 040	34615 - 34614	10481	Meno Falls	MF	FALSE	MF 040	3/9/2011 5:29	3/10/2011 9:27	3/9/2011 11:29	3/10/2011 15:27	9-Mar-11	10-Mar-11	Mar	Event	Snowmelt	Snowmelt	Rain	0	0	0	0	180	150	422606	16633	893	893	840	840	14.6	13.3	45.99335033	49.04692	2008.961424	2630	1580	6.721661721	14	1.7	0.9	32.21	199370.699	14579.87149	31309.90622	16757.76252	20253096.35	261078156.9	258234584.8	35016257.52
MF 041	34627 - 34626	10491	Meno Falls	MF	TRUE	MF 041	3/14/2011 11:28	3/17/2011 7:38	3/14/2011 17:28	3/17/2011 13:38	14-Mar-11	17-Mar-11	Mar	Event	Snowmelt	Snowmelt	Baseflow	0	0	0	0	210	90	554559	41212	473	473	113	113	15.3	12.4	75.61543418	125.0632	1285.390244	1440	1030	8.020879121	88	5.1	1.2	44.84	152768.4834	12838.30854	33071.12467	16713.39845	19059086.05	264124751.1	217889825.3	33318448.85
MF 042	34637 - 34636	10526	Meno Falls	MF	TRUE	MF 041	3/17/2011 11:28	3/20/2011 6:45	3/17/2011 17:28	3/20/2011 12:45	17-Mar-11	21-Mar-11	Mar	Event	Snowmelt	Snowmelt	NA	0	0	0	0	150	20	77219	5000	308	308	BLD	60	13.9	12.4	171.4176172	186.8903	758.3799505	1000	672	11.16969697	28	4.9	1.8	54.2	139973.5549	11663.66878	30809.77743	14661.74236	19483632.65	276762840.3	190172944.7	33271774.53
MF 043	34639 - 34638	NA	Meno Falls	MF	TRUE	MF 043	3/20/2011 7:19	3/21/2011 7:45	3/20/2011 13:19	3/21/2011 13:45	20-Mar-11		Mar	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	NA	NA		NA		NA		NA	13.3	12.9	263.657869	435.4688	658.4271186	734	528	38.03762712	250	3.4	2.2	179.95	127916.1119	10556.73395	28678.77173	12728.34144	19883708.87	288672484.2	164053634.4	33227790.46
MF 044	34653 - 34652	NA	Meno Falls	MF	TRUE	MF 043	3/22/2011 19:07	3/24/2011 7:45	3/23/2011 1:07	3/24/2011 13:45	22-Mar-11	NA	Mar	Event	Rainfall 	Rainfall 	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	14.1	12.9	395.4722409	414.2357	604.5147392	627	554	13.24681818	30	3	0.2	179.95	117289.213	9581.130367	26800.59721	11024.32707	20236318.41	299169119.5	141033225.3	33189024.85
MF 045	34665 - 34664	10601	Meno Falls	MF	FALSE	MF 045	3/29/2011 7:35	3/30/2011 9:02	3/29/2011 13:35	3/30/2011 15:02	29-Mar-11	30-Mar-11	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	24	8	122475	2293	420	420	758	758	13.9	12.2	63.13759634	69.91233	938.4640523	952	920	5.734313725	7.1	5.2	1.9	87.05	89483.93788	7028.464144	21886.35464	6565.774426	22728302.01	309340021.2	133631981.1	30025274.33
LD 001	33301 - 33302	6509	Donges Bay	LD	FALSE	LD 001	4/7/2009 17:57	4/8/2009 5:48	4/7/2009 23:57	4/8/2009 11:48	7-Apr-09	10-Apr-09	Apr	Baseflow	Baseflow	Baseflow	Baseflow	0	12.53	9.13	21.66	8	5	93333	23440	1380	1380	505	505	14.4	10.9	8.291002273	8.664827	857.8380282	864	845	4.35915493	14	7.4	3.9	8.96	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
LD 002	33308 - 33309	6517	Donges Bay	LD	FALSE	LD 002	4/20/2009 11:37	4/22/2009 7:47	4/20/2009 17:37	4/22/2009 13:47	20-Apr-09	24-Apr-09	Apr	Event	Rainfall 	Rainfall 	Rain	0	0	16.63	16.63	100	460	459236	24115	2224	2224	3309	3309	13.6	10	16.43966272	21.10891	822.9264151	862	784	3.209811321	6.4	8.5	5	3.34	58550.97	37668.345	0	4012.235	22334219	506965336	34848596	20869913
LD 004	33388 - 33389	6922	Donges Bay	LD	FALSE	LD 004	6/8/2009 4:19	6/9/2009 13:57	6/8/2009 10:19	6/9/2009 19:57	8-Jun-09	12-Jun-09	Jun	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	8600	6500	1241073	69289	6279	6279	6437	6437	10.3	9	18.23020762	37.28148	703.3366337	792	467	49.51361386	310	14.3	11.5	1.83	19694.41254	31968.00222	7968.89771	14507.90143	18059465.65	753706446.6	70294407.32	43108778.7
LD 005	33395 - 33396	7003	Donges Bay	LD	FALSE	LD 005	6/15/2009 20:47	6/16/2009 13:36	6/16/2009 2:47	6/16/2009 19:36	15-Jun-09	15-Jun-09	Jun	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	490	280	157201	9364	469	469	1808	1808	9.7	8.8	2.216587433	2.352928	806.2574257	815	798	13.67661692	39	17.1	13.8	2.39	36994.9815	52173.7379	9407.131689	11387.60736	22175015.47	798545455.1	65483335.26	43669337.21
LD 007	33441 - 33442	7768	Donges Bay	LD	FALSE	LD 007	8/11/2009 8:48	8/12/2009 8:35	8/11/2009 14:48	8/12/2009 14:35	11-Aug-09	14-Aug-09	Aug	Baseflow	Baseflow	Baseflow	Baseflow	NA	0	0	NA	630	540	134214	7526	61	61	94	94	8.1	7.2	0.601099369	0.6362542	767.805668	784	758	9.627935223	16	20	16.4	0.62	19889.25685	111.5719714	299.1735	6069.693229	17965285.79	625099146.3	35067292.72	31219973.85
